ballnumber,inningno,over,outcome,batter,bowler,comment
59,2,9.5,1,Manish Pandey,Vijaykumar Vyshak,"Vijaykumar Vyshak to Manish Pandey, 1 run,"
60,2,9.6,1,Axar Patel,Vijaykumar Vyshak,"Vijaykumar Vyshak to Axar Patel, 1 run,"
61,2,10.1,2,Axar Patel,Wanindu Hasaranga,"Wanindu Hasaranga to Axar Patel, 2 runs,"
62,2,10.2,4,Axar Patel,Wanindu Hasaranga,"Wanindu Hasaranga to Axar Patel, Four,"
63,2,10.3,1,Axar Patel,Wanindu Hasaranga,"Wanindu Hasaranga to Axar Patel, 1 run,"
64,2,10.4,1,Manish Pandey,Wanindu Hasaranga,"Wanindu Hasaranga to Manish Pandey, 1 run,"
65,2,10.5,4,Axar Patel,Wanindu Hasaranga,"Wanindu Hasaranga to Axar Patel, Four,"
66,2,10.6,1,Axar Patel,Wanindu Hasaranga,"Wanindu Hasaranga to Axar Patel, 1 run,"
67,2,11.1,1,Axar Patel,Harshal Patel,"Harshal Patel to Axar Patel, 1 run,"
68,2,11.2,1,Manish Pandey,Harshal Patel,"Harshal Patel to Manish Pandey, 1 run,"
69,2,11.3,0,Axar Patel,Harshal Patel,"Harshal Patel to Axar Patel, no run,"
70,2,11.4,1,Axar Patel,Harshal Patel,"Harshal Patel to Axar Patel, 1 run,"
71,2,11.5,1wd,Manish Pandey,Harshal Patel,"Harshal Patel to Manish Pandey, 1 wide,"
72,2,11.5,1,Manish Pandey,Harshal Patel,"Harshal Patel to Manish Pandey, 1 run,"
73,2,11.6,1,Axar Patel,Harshal Patel,"Harshal Patel to Axar Patel, 1 run,"
74,2,12.1,4,Axar Patel,Vijaykumar Vyshak,"Vijaykumar Vyshak to Axar Patel, Four,"
75,2,12.2,w,Axar Patel,Vijaykumar Vyshak,"Vijaykumar Vyshak to Axar Patel, no run,                           Wicket - c Mohammed Siraj b Vijaykumar Vyshak batsmen out 21(14)"
76,2,12.3,1,Aman Hakim Khan,Vijaykumar Vyshak,"Vijaykumar Vyshak to Aman Hakim Khan, 1 run,"
77,2,12.4,0,Manish Pandey,Vijaykumar Vyshak,"Vijaykumar Vyshak to Manish Pandey, no run,"
78,2,12.5,0,Manish Pandey,Vijaykumar Vyshak,"Vijaykumar Vyshak to Manish Pandey, no run,"
79,2,12.6,1,Manish Pandey,Vijaykumar Vyshak,"Vijaykumar Vyshak to Manish Pandey, 1 run,"
80,2,13.1,0,Manish Pandey,Wanindu Hasaranga,"Wanindu Hasaranga to Manish Pandey, no run,"
