ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,w,Prabhsimran Singh,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Prabhsimran Singh, no run,                           Wicket - lbw b B Kumar batsmen out 0(1)"
2,1,0.2,1wd,Matthew Short,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Matthew Short, 1 wide,"
3,1,0.2,1,Matthew Short,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Matthew Short, 1 run,"
4,1,0.3,1wd,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, 1 wide,"
5,1,0.3,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,"
6,1,0.4,2,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, 2 runs,"
7,1,0.5,4,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, Four,"
8,1,0.6,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,"
9,1,1.1,1wd,Matthew Short,Marco Jansen,"Marco Jansen to Matthew Short, 1 wide,"
10,1,1.1,0,Matthew Short,Marco Jansen,"Marco Jansen to Matthew Short, no run,"
11,1,1.2,w,Matthew Short,Marco Jansen,"Marco Jansen to Matthew Short, no run,                           Wicket - lbw b M Jansen batsmen out 1(3)"
12,1,1.3,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,"
13,1,1.4,4,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, Four,"
14,1,1.5,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,"
15,1,1.6,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,"
16,1,2.1,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,"
17,1,2.2,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,"
18,1,2.3,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,"
19,1,2.4,4,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, Four,"
20,1,2.5,0,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, no run,"
21,1,2.6,4,Shikhar Dhawan,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Shikhar Dhawan, Four,"
22,1,3.1,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,"
23,1,3.2,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,"
24,1,3.3,0,Jitesh Sharma,Marco Jansen,"Marco Jansen to Jitesh Sharma, no run,"
