ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Rahmanullah Gurbaz,Arjun Tendulkar,"Arjun Tendulkar to Rahmanullah Gurbaz, no run,"
2,1,0.2,2,Rahmanullah Gurbaz,Arjun Tendulkar,"Arjun Tendulkar to Rahmanullah Gurbaz, 2 runs,"
3,1,0.3,1,Rahmanullah Gurbaz,Arjun Tendulkar,"Arjun Tendulkar to Rahmanullah Gurbaz, 1 run,"
4,1,0.4,1lb,Narayan Jagadeesan,Arjun Tendulkar,"Arjun Tendulkar to Narayan Jagadeesan, 1 leg bye,"
5,1,0.5,0,Rahmanullah Gurbaz,Arjun Tendulkar,"Arjun Tendulkar to Rahmanullah Gurbaz, no run,"
6,1,0.6,1,Rahmanullah Gurbaz,Arjun Tendulkar,"Arjun Tendulkar to Rahmanullah Gurbaz, 1 run,"
7,1,1.1,1,Rahmanullah Gurbaz,Cameron Green,"Cameron Green to Rahmanullah Gurbaz, 1 run,"
8,1,1.2,0,Narayan Jagadeesan,Cameron Green,"Cameron Green to Narayan Jagadeesan, no run,"
9,1,1.3,0,Narayan Jagadeesan,Cameron Green,"Cameron Green to Narayan Jagadeesan, no run,"
10,1,1.4,5wd,Narayan Jagadeesan,Cameron Green,"Cameron Green to Narayan Jagadeesan, 5 wide,"
11,1,1.4,0,Narayan Jagadeesan,Cameron Green,"Cameron Green to Narayan Jagadeesan, no run,"
12,1,1.5,w,Narayan Jagadeesan,Cameron Green,"Cameron Green to Narayan Jagadeesan, no run,                           Wicket - c H Shokeen b C Green batsmen out 0(5)"
13,1,1.6,1,Venkatesh Iyer,Cameron Green,"Cameron Green to Venkatesh Iyer, 1 run,"
14,1,2.1,0,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, no run,"
15,1,2.2,0,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, no run,"
16,1,2.3,1wd,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, 1 wide,"
17,1,2.3,2,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, 2 runs,"
18,1,2.4,0,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, no run,"
19,1,2.5,4,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, Four,"
20,1,2.6,6,Venkatesh Iyer,Arjun Tendulkar,"Arjun Tendulkar to Venkatesh Iyer, Six,"
21,1,3.1,1wd,Rahmanullah Gurbaz,Cameron Green,"Cameron Green to Rahmanullah Gurbaz, 1 wide,"
22,1,3.1,1,Rahmanullah Gurbaz,Cameron Green,"Cameron Green to Rahmanullah Gurbaz, 1 run,"
23,1,3.2,6,Venkatesh Iyer,Cameron Green,"Cameron Green to Venkatesh Iyer, Six,"
24,1,3.3,0,Venkatesh Iyer,Cameron Green,"Cameron Green to Venkatesh Iyer, no run,"
25,1,3.4,4,Venkatesh Iyer,Cameron Green,"Cameron Green to Venkatesh Iyer, Four,"
26,1,3.5,1,Venkatesh Iyer,Cameron Green,"Cameron Green to Venkatesh Iyer, 1 run,"
27,1,3.6,1lb,Rahmanullah Gurbaz,Cameron Green,"Cameron Green to Rahmanullah Gurbaz, 1 leg bye,"
28,1,4.1,0,Rahmanullah Gurbaz,Duan Jansen,"Duan Jansen to Rahmanullah Gurbaz, no run,"
29,1,4.2,1,Rahmanullah Gurbaz,Duan Jansen,"Duan Jansen to Rahmanullah Gurbaz, 1 run,"
30,1,4.3,6,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, Six,"
31,1,4.4,0,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, no run,"
32,1,4.5,1wd,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, 1 wide,"
33,1,4.5,2,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, 2 runs,"
34,1,4.6,6,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, Six,"
35,1,5.1,1,Rahmanullah Gurbaz,Piyush Chawla,"Piyush Chawla to Rahmanullah Gurbaz, 1 run,"
36,1,5.2,1,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, 1 run,"
37,1,5.3,w,Rahmanullah Gurbaz,Piyush Chawla,"Piyush Chawla to Rahmanullah Gurbaz, no run,                           Wicket - c D Jansen b Piyush Chawla batsmen out 8(12)"
38,1,5.4,0,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, no run,"
39,1,5.5,0,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, no run,"
40,1,5.6,0,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, no run,"
41,1,6.1,4,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, Four,"
42,1,6.2,1,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, 1 run,"
43,1,6.3,0,Nitish Rana,Hrithik Shokeen,"Hrithik Shokeen to Nitish Rana, no run,"
44,1,6.4,1wd,Nitish Rana,Hrithik Shokeen,"Hrithik Shokeen to Nitish Rana, 1 wide,"
45,1,6.4,1,Nitish Rana,Hrithik Shokeen,"Hrithik Shokeen to Nitish Rana, 1 run,"
46,1,6.5,0,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, no run,"
47,1,6.6,4,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, Four,"
48,1,7.1,1,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, 1 run,"
49,1,7.2,0,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, no run,"
50,1,7.3,1,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, 1 run,"
51,1,7.4,2,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, 2 runs,"
52,1,7.5,0,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, no run,"
53,1,7.6,1,Nitish Rana,Piyush Chawla,"Piyush Chawla to Nitish Rana, 1 run,"
54,1,8.1,w,Nitish Rana,Hrithik Shokeen,"Hrithik Shokeen to Nitish Rana, no run,                           Wicket - c (sub Ramandeep Singh) b H Shokeen batsmen out 5(10)"
55,1,8.2,0,Shardul Thakur,Hrithik Shokeen,"Hrithik Shokeen to Shardul Thakur, no run,"
56,1,8.3,1,Shardul Thakur,Hrithik Shokeen,"Hrithik Shokeen to Shardul Thakur, 1 run,"
57,1,8.4,4,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, Four,"
58,1,8.5,0,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, no run,"
59,1,8.6,6,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, Six,"
60,1,9.1,1,Shardul Thakur,Piyush Chawla,"Piyush Chawla to Shardul Thakur, 1 run,"
61,1,9.2,0,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, no run,"
62,1,9.3,2,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, 2 runs,"
63,1,9.4,1,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, 1 run,"
64,1,9.5,1,Shardul Thakur,Piyush Chawla,"Piyush Chawla to Shardul Thakur, 1 run,"
65,1,9.6,1,Venkatesh Iyer,Piyush Chawla,"Piyush Chawla to Venkatesh Iyer, 1 run,"
66,1,10.1,1,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, 1 run,"
67,1,10.2,1,Shardul Thakur,Riley Meredith,"Riley Meredith to Shardul Thakur, 1 run,"
68,1,10.3,6,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, Six,"
69,1,10.4,6,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, Six,"
70,1,10.5,0,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, no run,"
71,1,10.6,0,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, no run,"
72,1,11.1,1,Shardul Thakur,Duan Jansen,"Duan Jansen to Shardul Thakur, 1 run,"
73,1,11.2,6,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, Six,"
74,1,11.3,1,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, 1 run,"
75,1,11.4,4,Shardul Thakur,Duan Jansen,"Duan Jansen to Shardul Thakur, Four,"
76,1,11.5,1,Shardul Thakur,Duan Jansen,"Duan Jansen to Shardul Thakur, 1 run,"
77,1,11.6,0,Venkatesh Iyer,Duan Jansen,"Duan Jansen to Venkatesh Iyer, no run,"
78,1,12.1,1,Shardul Thakur,Hrithik Shokeen,"Hrithik Shokeen to Shardul Thakur, 1 run,"
79,1,12.2,2,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, 2 runs,"
80,1,12.3,1,Venkatesh Iyer,Hrithik Shokeen,"Hrithik Shokeen to Venkatesh Iyer, 1 run,"
81,1,12.4,2,Shardul Thakur,Hrithik Shokeen,"Hrithik Shokeen to Shardul Thakur, 2 runs,"
82,1,12.5,w,Shardul Thakur,Hrithik Shokeen,"Hrithik Shokeen to Shardul Thakur, no run,                           Wicket - c Tilak Varma b H Shokeen batsmen out 13(11)"
83,1,12.6,1,Rinku Singh,Hrithik Shokeen,"Hrithik Shokeen to Rinku Singh, 1 run,"
84,1,13.1,1,Rinku Singh,Riley Meredith,"Riley Meredith to Rinku Singh, 1 run,"
85,1,13.2,0,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, no run,"
86,1,13.3,2,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, 2 runs,"
87,1,13.4,6,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, Six,"
88,1,13.5,1,Venkatesh Iyer,Riley Meredith,"Riley Meredith to Venkatesh Iyer, 1 run,"
89,1,13.6,1,Rinku Singh,Riley Meredith,"Riley Meredith to Rinku Singh, 1 run,"
