ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, 1 run,"
2,1,0.2,2wd,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, 2 wide,"
3,1,0.2,0,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, no run,"
4,1,0.3,4,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, Four,"
5,1,0.4,0,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, no run,"
6,1,0.5,0,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, no run,"
7,1,0.6,0,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, no run,"
8,1,1.1,0,Shikhar Dhawan,KM Asif,"KM Asif to Shikhar Dhawan, no run,"
9,1,1.2,2,Shikhar Dhawan,KM Asif,"KM Asif to Shikhar Dhawan, 2 runs,"
10,1,1.3,0,Shikhar Dhawan,KM Asif,"KM Asif to Shikhar Dhawan, no run,"
11,1,1.4,1,Shikhar Dhawan,KM Asif,"KM Asif to Shikhar Dhawan, 1 run,"
12,1,1.5,6,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, Six,"
13,1,1.6,0,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, no run,"
14,1,2.1,0,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, no run,"
15,1,2.2,4,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, Four,"
16,1,2.3,4,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, Four,"
17,1,2.4,0,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, no run,"
18,1,2.5,1,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, 1 run,"
19,1,2.6,1,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, 1 run,"
20,1,3.1,4,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, Four,"
21,1,3.2,0,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, no run,"
22,1,3.3,4,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, Four,"
23,1,3.4,6,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, Six,"
24,1,3.5,0,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, no run,"
25,1,3.6,1wd,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, 1 wide,"
26,1,3.6,4,Prabhsimran Singh,KM Asif,"KM Asif to Prabhsimran Singh, Four,"
27,1,4.1,1,Shikhar Dhawan,Ravichandran Ashwin,"Ravichandran Ashwin to Shikhar Dhawan, 1 run,"
28,1,4.2,4,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, Four,"
29,1,4.3,4,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, Four,"
30,1,4.4,1wd,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, 1 wide,"
31,1,4.4,1,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, 1 run,"
32,1,4.5,0,Shikhar Dhawan,Ravichandran Ashwin,"Ravichandran Ashwin to Shikhar Dhawan, no run,"
33,1,4.6,0,Shikhar Dhawan,Ravichandran Ashwin,"Ravichandran Ashwin to Shikhar Dhawan, no run,"
34,1,5.1,0,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, no run,"
35,1,5.2,4,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, Four,"
36,1,5.3,0,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, no run,"
37,1,5.4,1,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, 1 run,"
38,1,5.5,1,Shikhar Dhawan,Jason Holder,"Jason Holder to Shikhar Dhawan, 1 run,"
39,1,5.6,1,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, 1 run,"
40,1,6.1,1,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, 1 run,"
41,1,6.2,0,Shikhar Dhawan,Ravichandran Ashwin,"Ravichandran Ashwin to Shikhar Dhawan, no run,"
42,1,6.3,1,Shikhar Dhawan,Ravichandran Ashwin,"Ravichandran Ashwin to Shikhar Dhawan, 1 run,"
43,1,6.4,1,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, 1 run,"
44,1,6.5,1,Shikhar Dhawan,Ravichandran Ashwin,"Ravichandran Ashwin to Shikhar Dhawan, 1 run,"
45,1,6.6,1,Prabhsimran Singh,Ravichandran Ashwin,"Ravichandran Ashwin to Prabhsimran Singh, 1 run,"
46,1,7.1,0,Prabhsimran Singh,Yuzvendra Chahal,"Yuzvendra Chahal to Prabhsimran Singh, no run,"
47,1,7.2,2,Prabhsimran Singh,Yuzvendra Chahal,"Yuzvendra Chahal to Prabhsimran Singh, 2 runs,"
48,1,7.3,1,Prabhsimran Singh,Yuzvendra Chahal,"Yuzvendra Chahal to Prabhsimran Singh, 1 run,"
49,1,7.4,0,Shikhar Dhawan,Yuzvendra Chahal,"Yuzvendra Chahal to Shikhar Dhawan, no run,"
50,1,7.5,4,Shikhar Dhawan,Yuzvendra Chahal,"Yuzvendra Chahal to Shikhar Dhawan, Four,"
51,1,7.6,2,Shikhar Dhawan,Yuzvendra Chahal,"Yuzvendra Chahal to Shikhar Dhawan, 2 runs,"
52,1,8.1,6,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, Six,"
53,1,8.2,1,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, 1 run,"
54,1,8.3,1,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, 1 run,"
55,1,8.4,1,Prabhsimran Singh,Trent Boult,"Trent Boult to Prabhsimran Singh, 1 run,"
56,1,8.5,0,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, no run,"
57,1,8.6,0,Shikhar Dhawan,Trent Boult,"Trent Boult to Shikhar Dhawan, no run,"
58,1,9.1,1,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, 1 run,"
59,1,9.2,2,Shikhar Dhawan,Jason Holder,"Jason Holder to Shikhar Dhawan, 2 runs,"
60,1,9.3,1,Shikhar Dhawan,Jason Holder,"Jason Holder to Shikhar Dhawan, 1 run,"
61,1,9.4,w,Prabhsimran Singh,Jason Holder,"Jason Holder to Prabhsimran Singh, no run,                           Wicket - c Jos Buttler b Jason Holder batsmen out 60(34)"
62,1,9.5,1,Bhanuka Rajapaksa,Jason Holder,"Jason Holder to Bhanuka Rajapaksa, 1 run,"
63,1,9.6,1,Shikhar Dhawan,Jason Holder,"Jason Holder to Shikhar Dhawan, 1 run,"
