ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, no run,"
2,1,0.2,1wd,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, 1 wide,"
3,1,0.2,4,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, Four,"
4,1,0.3,1,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, 1 run,"
5,1,0.4,0,Jos Buttler,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Jos Buttler, no run,"
6,1,0.5,0,Jos Buttler,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Jos Buttler, no run,"
7,1,0.6,0,Jos Buttler,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Jos Buttler, no run,"
8,1,1.1,4,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, Four,"
9,1,1.2,0,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, no run,"
10,1,1.3,3,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, 3 runs,"
11,1,1.4,3,Jos Buttler,Fazalhaq Farooqi,"Fazalhaq Farooqi to Jos Buttler, 3 runs,"
12,1,1.5,4,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, Four,"
13,1,1.6,0,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, no run,"
14,1,2.1,6,Jos Buttler,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Jos Buttler, Six,"
15,1,2.2,2,Jos Buttler,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Jos Buttler, 2 runs,"
16,1,2.3,1,Jos Buttler,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Jos Buttler, 1 run,"
17,1,2.4,4,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, Four,"
18,1,2.5,4,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, Four,"
19,1,2.6,0,Yashasvi Jaiswal,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Yashasvi Jaiswal, no run,"
20,1,3.1,6,n Sundar,Washing,"Washington Sundar to Jos Buttler, Six,"
21,1,3.2,6,n Sundar,Washing,"Washington Sundar to Jos Buttler, Six,"
22,1,3.3,0,n Sundar,Washing,"Washington Sundar to Jos Buttler, no run,"
23,1,3.4,1,n Sundar,Washing,"Washington Sundar to Jos Buttler, 1 run,"
24,1,3.5,4,n Sundar,Washing,"Washington Sundar to Yashasvi Jaiswal, Four,"
25,1,3.6,2,n Sundar,Washing,"Washington Sundar to Yashasvi Jaiswal, 2 runs,"
26,1,4.1,4,Jos Buttler,T Natarajan,"T Natarajan to Jos Buttler, Four,"
27,1,4.2,0,Jos Buttler,T Natarajan,"T Natarajan to Jos Buttler, no run,"
28,1,4.3,4,Jos Buttler,T Natarajan,"T Natarajan to Jos Buttler, Four,"
29,1,4.4,4,Jos Buttler,T Natarajan,"T Natarajan to Jos Buttler, Four,"
30,1,4.5,4,Jos Buttler,T Natarajan,"T Natarajan to Jos Buttler, Four,"
31,1,4.6,1,Jos Buttler,T Natarajan,"T Natarajan to Jos Buttler, 1 run,"
32,1,5.1,4,Jos Buttler,Fazalhaq Farooqi,"Fazalhaq Farooqi to Jos Buttler, Four,"
33,1,5.2,0,Jos Buttler,Fazalhaq Farooqi,"Fazalhaq Farooqi to Jos Buttler, no run,"
34,1,5.3,4,Jos Buttler,Fazalhaq Farooqi,"Fazalhaq Farooqi to Jos Buttler, Four,"
35,1,5.4,4,Jos Buttler,Fazalhaq Farooqi,"Fazalhaq Farooqi to Jos Buttler, Four,"
36,1,5.5,w,Jos Buttler,Fazalhaq Farooqi,"Fazalhaq Farooqi to Jos Buttler, no run,                           Wicket - b Fazalhaq Farooqi batsmen out 54(22)"
37,1,5.6,0,Sanju Samson,Fazalhaq Farooqi,"Fazalhaq Farooqi to Sanju Samson, no run,"
38,1,6.1,2,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, 2 runs,"
39,1,6.2,0,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, no run,"
40,1,6.3,0,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, no run,"
41,1,6.4,1,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, 1 run,"
42,1,6.5,1,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, 1 run,"
43,1,6.6,4,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, Four,"
44,1,7.1,1,Sanju Samson,Umran Malik,"Umran Malik to Sanju Samson, 1 run,"
45,1,7.2,1,Yashasvi Jaiswal,Umran Malik,"Umran Malik to Yashasvi Jaiswal, 1 run,"
46,1,7.3,4,Sanju Samson,Umran Malik,"Umran Malik to Sanju Samson, Four,"
47,1,7.4,4,Sanju Samson,Umran Malik,"Umran Malik to Sanju Samson, Four,"
48,1,7.5,1,Sanju Samson,Umran Malik,"Umran Malik to Sanju Samson, 1 run,"
49,1,7.6,1,Yashasvi Jaiswal,Umran Malik,"Umran Malik to Yashasvi Jaiswal, 1 run,"
50,1,8.1,0,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, no run,"
51,1,8.2,1,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, 1 run,"
52,1,8.3,0,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, no run,"
53,1,8.4,2,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, 2 runs,"
54,1,8.5,1,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, 1 run,"
55,1,8.6,1,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, 1 run,"
56,1,9.1,4,Yashasvi Jaiswal,Umran Malik,"Umran Malik to Yashasvi Jaiswal, Four,"
57,1,9.2,0,Yashasvi Jaiswal,Umran Malik,"Umran Malik to Yashasvi Jaiswal, no run,"
58,1,9.3,1,Yashasvi Jaiswal,Umran Malik,"Umran Malik to Yashasvi Jaiswal, 1 run,"
59,1,9.4,6,Sanju Samson,Umran Malik,"Umran Malik to Sanju Samson, Six,"
60,1,9.5,1,Sanju Samson,Umran Malik,"Umran Malik to Sanju Samson, 1 run,"
61,1,9.6,0,Yashasvi Jaiswal,Umran Malik,"Umran Malik to Yashasvi Jaiswal, no run,"
62,1,10.1,6,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, Six,"
63,1,10.2,1,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, 1 run,"
64,1,10.3,1,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, 1 run,"
65,1,10.4,1,Sanju Samson,Adil Rashid,"Adil Rashid to Sanju Samson, 1 run,"
66,1,10.5,0,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, no run,"
67,1,10.6,1,Yashasvi Jaiswal,Adil Rashid,"Adil Rashid to Yashasvi Jaiswal, 1 run,"
68,1,11.1,1,n Sundar,Washing,"Washington Sundar to Yashasvi Jaiswal, 1 run,"
69,1,11.2,1,n Sundar,Washing,"Washington Sundar to Sanju Samson, 1 run,"
70,1,11.3,0,n Sundar,Washing,"Washington Sundar to Yashasvi Jaiswal, no run,"
71,1,11.4,0,n Sundar,Washing,"Washington Sundar to Yashasvi Jaiswal, no run,"
72,1,11.5,1,n Sundar,Washing,"Washington Sundar to Yashasvi Jaiswal, 1 run,"
73,1,11.6,0,n Sundar,Washing,"Washington Sundar to Sanju Samson, no run,"
74,1,12.1,4,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, Four,"
75,1,12.2,0,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, no run,"
76,1,12.3,w,Yashasvi Jaiswal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Yashasvi Jaiswal, no run,                           Wicket - c Mayank Agarwal b Fazalhaq Farooqi batsmen out 54(37)"
77,1,12.4,1lb,Devdutt Padikkal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Devdutt Padikkal, 1 leg bye,"
78,1,12.5,1,Sanju Samson,Fazalhaq Farooqi,"Fazalhaq Farooqi to Sanju Samson, 1 run,"
79,1,12.6,0,Devdutt Padikkal,Fazalhaq Farooqi,"Fazalhaq Farooqi to Devdutt Padikkal, no run,"
80,1,13.1,6,n Sundar,Washing,"Washington Sundar to Sanju Samson, Six,"
81,1,13.2,1,n Sundar,Washing,"Washington Sundar to Sanju Samson, 1 run,"
