ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1,KL Rahul,Khaleel Ahmed,"Khaleel Ahmed to KL Rahul, 1 run,"
2,1,0.2,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
3,1,0.3,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
4,1,0.4,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
5,1,0.5,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
6,1,0.6,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
7,1,1.1,0,KL Rahul,Mukesh Kumar,"Mukesh Kumar to KL Rahul, no run,"
8,1,1.2,0,KL Rahul,Mukesh Kumar,"Mukesh Kumar to KL Rahul, no run,"
9,1,1.3,0,KL Rahul,Mukesh Kumar,"Mukesh Kumar to KL Rahul, no run,"
10,1,1.4,1,KL Rahul,Mukesh Kumar,"Mukesh Kumar to KL Rahul, 1 run,"
11,1,1.5,2,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 2 runs,"
12,1,1.6,2,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 2 runs,"
13,1,2.1,1b,KL Rahul,Khaleel Ahmed,"Khaleel Ahmed to KL Rahul, 1 bye,"
14,1,2.2,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
15,1,2.3,0,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, no run,"
16,1,2.4,4,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, Four,"
17,1,2.5,1,Kyle Mayers,Khaleel Ahmed,"Khaleel Ahmed to Kyle Mayers, 1 run,"
18,1,2.6,0,KL Rahul,Khaleel Ahmed,"Khaleel Ahmed to KL Rahul, no run,"
19,1,3.1,1,Kyle Mayers,Chetan Sakariya,"Chetan Sakariya to Kyle Mayers, 1 run,"
20,1,3.2,0,KL Rahul,Chetan Sakariya,"Chetan Sakariya to KL Rahul, no run,"
21,1,3.3,0,KL Rahul,Chetan Sakariya,"Chetan Sakariya to KL Rahul, no run,"
22,1,3.4,6,KL Rahul,Chetan Sakariya,"Chetan Sakariya to KL Rahul, Six,"
23,1,3.5,0,KL Rahul,Chetan Sakariya,"Chetan Sakariya to KL Rahul, no run,"
24,1,3.6,w,KL Rahul,Chetan Sakariya,"Chetan Sakariya to KL Rahul, no run,                           Wicket - c Axar Patel b C Sakariya batsmen out 8(12)"
25,1,4.1,1,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 1 run,"
26,1,4.2,0,Deepak Hooda,Mukesh Kumar,"Mukesh Kumar to Deepak Hooda, no run,"
27,1,4.3,1,Deepak Hooda,Mukesh Kumar,"Mukesh Kumar to Deepak Hooda, 1 run,"
28,1,4.4,2,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 2 runs,"
29,1,4.5,1,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 1 run,"
30,1,4.6,1,Deepak Hooda,Mukesh Kumar,"Mukesh Kumar to Deepak Hooda, 1 run,"
31,1,5.1,0,Deepak Hooda,Chetan Sakariya,"Chetan Sakariya to Deepak Hooda, no run,"
32,1,5.2,1,Deepak Hooda,Chetan Sakariya,"Chetan Sakariya to Deepak Hooda, 1 run,"
33,1,5.3,1,Kyle Mayers,Chetan Sakariya,"Chetan Sakariya to Kyle Mayers, 1 run,"
34,1,5.4,0,Deepak Hooda,Chetan Sakariya,"Chetan Sakariya to Deepak Hooda, no run,"
35,1,5.5,1,Deepak Hooda,Chetan Sakariya,"Chetan Sakariya to Deepak Hooda, 1 run,"
36,1,5.6,2,Kyle Mayers,Chetan Sakariya,"Chetan Sakariya to Kyle Mayers, 2 runs,"
37,1,6.1,1,Deepak Hooda,Mukesh Kumar,"Mukesh Kumar to Deepak Hooda, 1 run,"
38,1,6.2,6,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, Six,"
39,1,6.3,1,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 1 run,"
40,1,6.4,1,Deepak Hooda,Mukesh Kumar,"Mukesh Kumar to Deepak Hooda, 1 run,"
41,1,6.5,6,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, Six,"
42,1,6.6,1,Kyle Mayers,Mukesh Kumar,"Mukesh Kumar to Kyle Mayers, 1 run,"
43,1,7.1,4,Kyle Mayers,Axar Patel,"Axar Patel to Kyle Mayers, Four,"
44,1,7.2,6,Kyle Mayers,Axar Patel,"Axar Patel to Kyle Mayers, Six,"
45,1,7.3,0,Kyle Mayers,Axar Patel,"Axar Patel to Kyle Mayers, no run,"
46,1,7.4,1,Kyle Mayers,Axar Patel,"Axar Patel to Kyle Mayers, 1 run,"
47,1,7.5,3,Deepak Hooda,Axar Patel,"Axar Patel to Deepak Hooda, 3 runs,"
48,1,7.6,0,Kyle Mayers,Axar Patel,"Axar Patel to Kyle Mayers, no run,"
49,1,8.1,1,Deepak Hooda,Kuldeep Yadav,"Kuldeep Yadav to Deepak Hooda, 1 run,"
50,1,8.2,2,Kyle Mayers,Kuldeep Yadav,"Kuldeep Yadav to Kyle Mayers, 2 runs,"
51,1,8.3,6,Kyle Mayers,Kuldeep Yadav,"Kuldeep Yadav to Kyle Mayers, Six,"
52,1,8.4,1,Kyle Mayers,Kuldeep Yadav,"Kuldeep Yadav to Kyle Mayers, 1 run,"
