ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1wd,Virat Kohli,Anrich Nortje,"Anrich Nortje to Virat Kohli, 1 wide,"
2,1,0.1,0,Virat Kohli,Anrich Nortje,"Anrich Nortje to Virat Kohli, no run,"
3,1,0.2,4,Virat Kohli,Anrich Nortje,"Anrich Nortje to Virat Kohli, Four,"
4,1,0.3,4,Virat Kohli,Anrich Nortje,"Anrich Nortje to Virat Kohli, Four,"
5,1,0.4,0,Virat Kohli,Anrich Nortje,"Anrich Nortje to Virat Kohli, no run,"
6,1,0.5,1,Virat Kohli,Anrich Nortje,"Anrich Nortje to Virat Kohli, 1 run,"
7,1,0.6,1,Faf du Plessis,Anrich Nortje,"Anrich Nortje to Faf du Plessis, 1 run,"
8,1,1.1,1,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, 1 run,"
9,1,1.2,2,Virat Kohli,Axar Patel,"Axar Patel to Virat Kohli, 2 runs,"
10,1,1.3,0,Virat Kohli,Axar Patel,"Axar Patel to Virat Kohli, no run,"
11,1,1.4,1,Virat Kohli,Axar Patel,"Axar Patel to Virat Kohli, 1 run,"
12,1,1.5,0,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, no run,"
13,1,1.6,1,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, 1 run,"
14,1,2.1,0,Faf du Plessis,Mustafizur Rahman,"Mustafizur Rahman to Faf du Plessis, no run,"
15,1,2.2,4,Faf du Plessis,Mustafizur Rahman,"Mustafizur Rahman to Faf du Plessis, Four,"
16,1,2.3,4,Faf du Plessis,Mustafizur Rahman,"Mustafizur Rahman to Faf du Plessis, Four,"
17,1,2.4,1,Faf du Plessis,Mustafizur Rahman,"Mustafizur Rahman to Faf du Plessis, 1 run,"
18,1,2.5,1,Virat Kohli,Mustafizur Rahman,"Mustafizur Rahman to Virat Kohli, 1 run,"
19,1,2.6,0,Faf du Plessis,Mustafizur Rahman,"Mustafizur Rahman to Faf du Plessis, no run,"
20,1,3.1,1,Virat Kohli,Axar Patel,"Axar Patel to Virat Kohli, 1 run,"
21,1,3.2,0,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, no run,"
22,1,3.3,0,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, no run,"
23,1,3.4,0,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, no run,"
24,1,3.5,6,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, Six,"
25,1,3.6,0,Faf du Plessis,Axar Patel,"Axar Patel to Faf du Plessis, no run,"
26,1,4.1,4,Virat Kohli,Mitchell Marsh,"Mitchell Marsh to Virat Kohli, Four,"
27,1,4.2,1,Virat Kohli,Mitchell Marsh,"Mitchell Marsh to Virat Kohli, 1 run,"
28,1,4.3,4,Faf du Plessis,Mitchell Marsh,"Mitchell Marsh to Faf du Plessis, Four,"
29,1,4.4,w,Faf du Plessis,Mitchell Marsh,"Mitchell Marsh to Faf du Plessis, no run,                           Wicket - c Aman Hakim Khan b MR Marsh batsmen out 22(16)"
30,1,4.5,1,Mahipal Lomror,Mitchell Marsh,"Mitchell Marsh to Mahipal Lomror, 1 run,"
31,1,4.6,0,Virat Kohli,Mitchell Marsh,"Mitchell Marsh to Virat Kohli, no run,"
32,1,5.1,0,Mahipal Lomror,Lalit Yadav,"Lalit Yadav to Mahipal Lomror, no run,"
33,1,5.2,1,Mahipal Lomror,Lalit Yadav,"Lalit Yadav to Mahipal Lomror, 1 run,"
34,1,5.3,0,Virat Kohli,Lalit Yadav,"Lalit Yadav to Virat Kohli, no run,"
