ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1wd,Wriddhiman Saha,Trent Boult,"Trent Boult to Wriddhiman Saha, 1 wide,"
2,1,0.1,0,Wriddhiman Saha,Trent Boult,"Trent Boult to Wriddhiman Saha, no run,"
3,1,0.2,4,Wriddhiman Saha,Trent Boult,"Trent Boult to Wriddhiman Saha, Four,"
4,1,0.3,w,Wriddhiman Saha,Trent Boult,"Trent Boult to Wriddhiman Saha, no run,                           Wicket - c &amp; b Trent Boult batsmen out 4(3)"
5,1,0.4,1,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, 1 run,"
6,1,0.5,0,Shubman Gill,Trent Boult,"Trent Boult to Shubman Gill, no run,"
7,1,0.6,0,Shubman Gill,Trent Boult,"Trent Boult to Shubman Gill, no run,"
8,1,1.1,0,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, no run,"
9,1,1.2,0,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, no run,"
10,1,1.3,4,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, Four,"
11,1,1.4,1,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, 1 run,"
12,1,1.5,0,Shubman Gill,Sandeep Sharma,"Sandeep Sharma to Shubman Gill, no run,"
13,1,1.6,0,Shubman Gill,Sandeep Sharma,"Sandeep Sharma to Shubman Gill, no run,"
14,1,2.1,1wd,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, 1 wide,"
15,1,2.1,4,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, Four,"
16,1,2.2,1,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, 1 run,"
17,1,2.3,0,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, no run,"
18,1,2.4,0,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, no run,"
19,1,2.5,3,Sai Sudharsan,Trent Boult,"Trent Boult to Sai Sudharsan, 3 runs,"
20,1,2.6,4,Shubman Gill,Trent Boult,"Trent Boult to Shubman Gill, Four,"
21,1,3.1,0,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, no run,"
22,1,3.2,0,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, no run,"
23,1,3.3,0,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, no run,"
24,1,3.4,1,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, 1 run,"
25,1,3.5,1,Shubman Gill,Sandeep Sharma,"Sandeep Sharma to Shubman Gill, 1 run,"
26,1,3.6,1,Sai Sudharsan,Sandeep Sharma,"Sandeep Sharma to Sai Sudharsan, 1 run,"
27,1,4.1,2,Sai Sudharsan,Adam Zampa,"Adam Zampa to Sai Sudharsan, 2 runs,"
28,1,4.2,1,Sai Sudharsan,Adam Zampa,"Adam Zampa to Sai Sudharsan, 1 run,"
29,1,4.3,1,Shubman Gill,Adam Zampa,"Adam Zampa to Shubman Gill, 1 run,"
30,1,4.4,0,Sai Sudharsan,Adam Zampa,"Adam Zampa to Sai Sudharsan, no run,"
31,1,4.5,1,Sai Sudharsan,Adam Zampa,"Adam Zampa to Sai Sudharsan, 1 run,"
32,1,4.6,w,Shubman Gill,Adam Zampa,"Adam Zampa to Shubman Gill, no run,                           Wicket - runout (SV Samson / Jos Buttler) batsmen out 20(19)"
33,1,5.1,4,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, Four,"
34,1,5.2,1,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, 1 run,"
35,1,5.3,0,Hardik Pandya,Ravichandran Ashwin,"Ravichandran Ashwin to Hardik Pandya, no run,"
36,1,5.4,1,Hardik Pandya,Ravichandran Ashwin,"Ravichandran Ashwin to Hardik Pandya, 1 run,"
37,1,5.5,0,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, no run,"
38,1,5.6,4,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, Four,"
39,1,6.1,0,Hardik Pandya,Adam Zampa,"Adam Zampa to Hardik Pandya, no run,"
40,1,6.2,6,Hardik Pandya,Adam Zampa,"Adam Zampa to Hardik Pandya, Six,"
41,1,6.3,4,Hardik Pandya,Adam Zampa,"Adam Zampa to Hardik Pandya, Four,"
42,1,6.4,1,Hardik Pandya,Adam Zampa,"Adam Zampa to Hardik Pandya, 1 run,"
43,1,6.5,1,Shubman Gill,Adam Zampa,"Adam Zampa to Shubman Gill, 1 run,"
44,1,6.6,1,Hardik Pandya,Adam Zampa,"Adam Zampa to Hardik Pandya, 1 run,"
45,1,7.1,1,Hardik Pandya,Ravichandran Ashwin,"Ravichandran Ashwin to Hardik Pandya, 1 run,"
46,1,7.2,4,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, Four,"
47,1,7.3,1,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, 1 run,"
48,1,7.4,4,Hardik Pandya,Ravichandran Ashwin,"Ravichandran Ashwin to Hardik Pandya, Four,"
49,1,7.5,1,Hardik Pandya,Ravichandran Ashwin,"Ravichandran Ashwin to Hardik Pandya, 1 run,"
50,1,7.6,6,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, Six,"
51,1,8.1,0,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, no run,"
52,1,8.2,1,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, 1 run,"
53,1,8.3,3,Shubman Gill,Yuzvendra Chahal,"Yuzvendra Chahal to Shubman Gill, 3 runs,"
54,1,8.4,0,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, no run,"
55,1,8.5,1,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, 1 run,"
56,1,8.6,1,Shubman Gill,Yuzvendra Chahal,"Yuzvendra Chahal to Shubman Gill, 1 run,"
57,1,9.1,1,Shubman Gill,Trent Boult,"Trent Boult to Shubman Gill, 1 run,"
58,1,9.2,1,Hardik Pandya,Trent Boult,"Trent Boult to Hardik Pandya, 1 run,"
59,1,9.3,1,Shubman Gill,Trent Boult,"Trent Boult to Shubman Gill, 1 run,"
60,1,9.4,4,Hardik Pandya,Trent Boult,"Trent Boult to Hardik Pandya, Four,"
61,1,9.5,1,Hardik Pandya,Trent Boult,"Trent Boult to Hardik Pandya, 1 run,"
62,1,9.6,2,Shubman Gill,Trent Boult,"Trent Boult to Shubman Gill, 2 runs,"
63,1,10.1,1,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, 1 run,"
64,1,10.2,1,Shubman Gill,Yuzvendra Chahal,"Yuzvendra Chahal to Shubman Gill, 1 run,"
65,1,10.3,1wd,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, 1 wide,"
66,1,10.3,w,Hardik Pandya,Yuzvendra Chahal,"Yuzvendra Chahal to Hardik Pandya, no run,                           Wicket - c Yashasvi Jaiswal b Yuzvendra Chahal batsmen out 28(19)"
67,1,10.4,1,David Miller,Yuzvendra Chahal,"Yuzvendra Chahal to David Miller, 1 run,"
68,1,10.5,1,Shubman Gill,Yuzvendra Chahal,"Yuzvendra Chahal to Shubman Gill, 1 run,"
69,1,10.6,1,David Miller,Yuzvendra Chahal,"Yuzvendra Chahal to David Miller, 1 run,"
70,1,11.1,1,David Miller,Ravichandran Ashwin,"Ravichandran Ashwin to David Miller, 1 run,"
71,1,11.2,1,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, 1 run,"
72,1,11.3,0,David Miller,Ravichandran Ashwin,"Ravichandran Ashwin to David Miller, no run,"
73,1,11.4,1,David Miller,Ravichandran Ashwin,"Ravichandran Ashwin to David Miller, 1 run,"
74,1,11.5,1,Shubman Gill,Ravichandran Ashwin,"Ravichandran Ashwin to Shubman Gill, 1 run,"
75,1,11.6,2,David Miller,Ravichandran Ashwin,"Ravichandran Ashwin to David Miller, 2 runs,"
76,1,12.1,1,Shubman Gill,Adam Zampa,"Adam Zampa to Shubman Gill, 1 run,"
77,1,12.2,0,David Miller,Adam Zampa,"Adam Zampa to David Miller, no run,"
78,1,12.3,0,David Miller,Adam Zampa,"Adam Zampa to David Miller, no run,"
79,1,12.4,1,David Miller,Adam Zampa,"Adam Zampa to David Miller, 1 run,"
