ballnumber,inningno,over,outcome,batter,bowler,comment
111,2,17.5,1,MS Dhoni,Adam Zampa,"Adam Zampa to MS Dhoni, 1 run,"
112,2,17.6,1,Ravindra Jadeja,Adam Zampa,"Adam Zampa to Ravindra Jadeja, 1 run,"
113,2,18.1,1lb,Ravindra Jadeja,Jason Holder,"Jason Holder to Ravindra Jadeja, 1 leg bye,"
114,2,18.2,1,MS Dhoni,Jason Holder,"Jason Holder to MS Dhoni, 1 run,"
115,2,18.3,4,Ravindra Jadeja,Jason Holder,"Jason Holder to Ravindra Jadeja, Four,"
116,2,18.4,1wd,Ravindra Jadeja,Jason Holder,"Jason Holder to Ravindra Jadeja, 1 wide,"
117,2,18.4,6,Ravindra Jadeja,Jason Holder,"Jason Holder to Ravindra Jadeja, Six,"
118,2,18.5,0,Ravindra Jadeja,Jason Holder,"Jason Holder to Ravindra Jadeja, no run,"
119,2,18.6,6,Ravindra Jadeja,Jason Holder,"Jason Holder to Ravindra Jadeja, Six,"
120,2,19.1,1wd,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, 1 wide,"
121,2,19.1,1wd,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, 1 wide,"
122,2,19.1,0,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, no run,"
123,2,19.2,6,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, Six,"
124,2,19.3,6,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, Six,"
125,2,19.4,1,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, 1 run,"
126,2,19.5,1,Ravindra Jadeja,Sandeep Sharma,"Sandeep Sharma to Ravindra Jadeja, 1 run,"
127,2,19.6,1,MS Dhoni,Sandeep Sharma,"Sandeep Sharma to MS Dhoni, 1 run,"
