ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Prabhsimran Singh,Umesh Yadav,"Umesh Yadav to Prabhsimran Singh, no run,"
2,1,0.2,2,Prabhsimran Singh,Umesh Yadav,"Umesh Yadav to Prabhsimran Singh, 2 runs,"
3,1,0.3,0,Prabhsimran Singh,Umesh Yadav,"Umesh Yadav to Prabhsimran Singh, no run,"
4,1,0.4,6,Prabhsimran Singh,Umesh Yadav,"Umesh Yadav to Prabhsimran Singh, Six,"
5,1,0.5,0,Prabhsimran Singh,Umesh Yadav,"Umesh Yadav to Prabhsimran Singh, no run,"
6,1,0.6,1,Prabhsimran Singh,Umesh Yadav,"Umesh Yadav to Prabhsimran Singh, 1 run,"
7,1,1.1,4,Prabhsimran Singh,Tim Southee,"Tim Southee to Prabhsimran Singh, Four,"
8,1,1.2,4,Prabhsimran Singh,Tim Southee,"Tim Southee to Prabhsimran Singh, Four,"
9,1,1.3,0,Prabhsimran Singh,Tim Southee,"Tim Southee to Prabhsimran Singh, no run,"
10,1,1.4,0,Prabhsimran Singh,Tim Southee,"Tim Southee to Prabhsimran Singh, no run,"
11,1,1.5,6,Prabhsimran Singh,Tim Southee,"Tim Southee to Prabhsimran Singh, Six,"
12,1,1.6,w,Prabhsimran Singh,Tim Southee,"Tim Southee to Prabhsimran Singh, no run,                           Wicket - c Rahmanullah Gurbaz b Tim Southee batsmen out 23(12)"
13,1,2.1,0,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, no run,"
14,1,2.2,0,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, no run,"
15,1,2.3,0,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, no run,"
16,1,2.4,1,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, 1 run,"
17,1,2.5,0,Bhanuka Rajapaksa,Umesh Yadav,"Umesh Yadav to Bhanuka Rajapaksa, no run,"
18,1,2.6,0,Bhanuka Rajapaksa,Umesh Yadav,"Umesh Yadav to Bhanuka Rajapaksa, no run,"
19,1,3.1,4,Shikhar Dhawan,Tim Southee,"Tim Southee to Shikhar Dhawan, Four,"
20,1,3.2,4,Shikhar Dhawan,Tim Southee,"Tim Southee to Shikhar Dhawan, Four,"
21,1,3.3,1,Shikhar Dhawan,Tim Southee,"Tim Southee to Shikhar Dhawan, 1 run,"
22,1,3.4,2,Bhanuka Rajapaksa,Tim Southee,"Tim Southee to Bhanuka Rajapaksa, 2 runs,"
23,1,3.5,1,Bhanuka Rajapaksa,Tim Southee,"Tim Southee to Bhanuka Rajapaksa, 1 run,"
24,1,3.6,0,Shikhar Dhawan,Tim Southee,"Tim Southee to Shikhar Dhawan, no run,"
25,1,4.1,0,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, no run,"
26,1,4.2,0,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, no run,"
27,1,4.3,4,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, Four,"
28,1,4.4,4,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, Four,"
29,1,4.5,0,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, no run,"
30,1,4.6,6,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, Six,"
31,1,5.1,0,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, no run,"
32,1,5.2,0,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, no run,"
33,1,5.3,1,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, 1 run,"
34,1,5.4,0,Bhanuka Rajapaksa,Varun Chakravarthy,"Varun Chakravarthy to Bhanuka Rajapaksa, no run,"
35,1,5.5,1,Bhanuka Rajapaksa,Varun Chakravarthy,"Varun Chakravarthy to Bhanuka Rajapaksa, 1 run,"
36,1,5.6,4,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, Four,"
37,1,6.1,2,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, 2 runs,"
38,1,6.2,4,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, Four,"
39,1,6.3,0,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, no run,"
40,1,6.4,6,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, Six,"
41,1,6.5,0,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, no run,"
42,1,6.6,1,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, 1 run,"
43,1,7.1,0,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, no run,"
44,1,7.2,2,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, 2 runs,"
45,1,7.3,4,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, Four,"
46,1,7.4,1,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, 1 run,"
47,1,7.5,1,Shikhar Dhawan,Sunil Narine,"Sunil Narine to Shikhar Dhawan, 1 run,"
48,1,7.6,2,Bhanuka Rajapaksa,Sunil Narine,"Sunil Narine to Bhanuka Rajapaksa, 2 runs,"
49,1,8.1,1,Shikhar Dhawan,Shardul Thakur,"Shardul Thakur to Shikhar Dhawan, 1 run,"
50,1,8.2,4,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, Four,"
51,1,8.3,1,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, 1 run,"
52,1,8.4,5nb,Shikhar Dhawan,Shardul Thakur,"Shardul Thakur to Shikhar Dhawan, 5 no ball,"
53,1,8.4,0,Shikhar Dhawan,Shardul Thakur,"Shardul Thakur to Shikhar Dhawan, no run,"
54,1,8.5,1,Shikhar Dhawan,Shardul Thakur,"Shardul Thakur to Shikhar Dhawan, 1 run,"
55,1,8.6,0,Bhanuka Rajapaksa,Shardul Thakur,"Shardul Thakur to Bhanuka Rajapaksa, no run,"
56,1,9.1,4,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, Four,"
57,1,9.2,1,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, 1 run,"
58,1,9.3,1lb,Bhanuka Rajapaksa,Varun Chakravarthy,"Varun Chakravarthy to Bhanuka Rajapaksa, 1 leg bye,"
59,1,9.4,1,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, 1 run,"
60,1,9.5,1,Bhanuka Rajapaksa,Varun Chakravarthy,"Varun Chakravarthy to Bhanuka Rajapaksa, 1 run,"
61,1,9.6,1,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, 1 run,"
62,1,10.1,4,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, Four,"
63,1,10.2,1,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, 1 run,"
64,1,10.3,2,Bhanuka Rajapaksa,Umesh Yadav,"Umesh Yadav to Bhanuka Rajapaksa, 2 runs,"
65,1,10.4,2,Bhanuka Rajapaksa,Umesh Yadav,"Umesh Yadav to Bhanuka Rajapaksa, 2 runs,"
66,1,10.5,0,Bhanuka Rajapaksa,Umesh Yadav,"Umesh Yadav to Bhanuka Rajapaksa, no run,"
67,1,10.6,w,Bhanuka Rajapaksa,Umesh Yadav,"Umesh Yadav to Bhanuka Rajapaksa, no run,                           Wicket - c RK Singh b UT Yadav batsmen out 50(32)"
68,1,11.1,1,Shikhar Dhawan,Sunil Narine,"Sunil Narine to Shikhar Dhawan, 1 run,"
69,1,11.2,1,Jitesh Sharma,Sunil Narine,"Sunil Narine to Jitesh Sharma, 1 run,"
70,1,11.3,1wd,Shikhar Dhawan,Sunil Narine,"Sunil Narine to Shikhar Dhawan, 1 wide,"
71,1,11.3,1,Shikhar Dhawan,Sunil Narine,"Sunil Narine to Shikhar Dhawan, 1 run,"
72,1,11.4,2,Jitesh Sharma,Sunil Narine,"Sunil Narine to Jitesh Sharma, 2 runs,"
73,1,11.5,0,Jitesh Sharma,Sunil Narine,"Sunil Narine to Jitesh Sharma, no run,"
74,1,11.6,6,Jitesh Sharma,Sunil Narine,"Sunil Narine to Jitesh Sharma, Six,"
75,1,12.1,1,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, 1 run,"
76,1,12.2,0,Jitesh Sharma,Umesh Yadav,"Umesh Yadav to Jitesh Sharma, no run,"
77,1,12.3,1,Jitesh Sharma,Umesh Yadav,"Umesh Yadav to Jitesh Sharma, 1 run,"
78,1,12.4,1,Shikhar Dhawan,Umesh Yadav,"Umesh Yadav to Shikhar Dhawan, 1 run,"
79,1,12.5,4,Jitesh Sharma,Umesh Yadav,"Umesh Yadav to Jitesh Sharma, Four,"
80,1,12.6,1,Jitesh Sharma,Umesh Yadav,"Umesh Yadav to Jitesh Sharma, 1 run,"
81,1,13.1,0,Jitesh Sharma,Tim Southee,"Tim Southee to Jitesh Sharma, no run,"
82,1,13.2,6,Jitesh Sharma,Tim Southee,"Tim Southee to Jitesh Sharma, Six,"
83,1,13.3,w,Jitesh Sharma,Tim Southee,"Tim Southee to Jitesh Sharma, no run,                           Wicket - c UT Yadav b Tim Southee batsmen out 21(11)"
84,1,13.4,4,Sikandar Raza,Tim Southee,"Tim Southee to Sikandar Raza, Four,"
85,1,13.5,1,Sikandar Raza,Tim Southee,"Tim Southee to Sikandar Raza, 1 run,"
86,1,13.6,2,Shikhar Dhawan,Tim Southee,"Tim Southee to Shikhar Dhawan, 2 runs,"
87,1,14.1,0,Sikandar Raza,Varun Chakravarthy,"Varun Chakravarthy to Sikandar Raza, no run,"
88,1,14.2,1,Sikandar Raza,Varun Chakravarthy,"Varun Chakravarthy to Sikandar Raza, 1 run,"
89,1,14.3,w,Shikhar Dhawan,Varun Chakravarthy,"Varun Chakravarthy to Shikhar Dhawan, no run,                           Wicket - b Varun Chakravarthy batsmen out 40(29)"
90,1,14.4,0,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, no run,"
91,1,14.5,0,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, no run,"
92,1,14.6,0,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, no run,"
93,1,15.1,1,Sikandar Raza,Shardul Thakur,"Shardul Thakur to Sikandar Raza, 1 run,"
94,1,15.2,2,Sam Curran,Shardul Thakur,"Shardul Thakur to Sam Curran, 2 runs,"
95,1,15.3,1,Sam Curran,Shardul Thakur,"Shardul Thakur to Sam Curran, 1 run,"
96,1,15.4,6,Sikandar Raza,Shardul Thakur,"Shardul Thakur to Sikandar Raza, Six,"
97,1,15.5,0,Sikandar Raza,Shardul Thakur,"Shardul Thakur to Sikandar Raza, no run,"
98,1,15.6,0,Sikandar Raza,Shardul Thakur,"Shardul Thakur to Sikandar Raza, no run,"
99,1,16.1,1wd,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, 1 wide,"
100,1,16.1,1,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, 1 run,"
101,1,16.2,1,Sikandar Raza,Varun Chakravarthy,"Varun Chakravarthy to Sikandar Raza, 1 run,"
102,1,16.3,1,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, 1 run,"
103,1,16.4,1,Sikandar Raza,Varun Chakravarthy,"Varun Chakravarthy to Sikandar Raza, 1 run,"
104,1,16.5,0,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, no run,"
105,1,16.6,6,Sam Curran,Varun Chakravarthy,"Varun Chakravarthy to Sam Curran, Six,"
106,1,17.1,1,Sikandar Raza,Sunil Narine,"Sunil Narine to Sikandar Raza, 1 run,"
107,1,17.2,2,Sam Curran,Sunil Narine,"Sunil Narine to Sam Curran, 2 runs,"
108,1,17.3,1,Sam Curran,Sunil Narine,"Sunil Narine to Sam Curran, 1 run,"
109,1,17.4,0,Sikandar Raza,Sunil Narine,"Sunil Narine to Sikandar Raza, no run,"
110,1,17.5,w,Sikandar Raza,Sunil Narine,"Sunil Narine to Sikandar Raza, no run,                           Wicket - c N Rana b SP Narine batsmen out 16(13)"
111,1,17.6,0,Shahrukh Khan,Sunil Narine,"Sunil Narine to Shahrukh Khan, no run,"
112,1,18.1,1,Sam Curran,Shardul Thakur,"Shardul Thakur to Sam Curran, 1 run,"
113,1,18.2,1,Shahrukh Khan,Shardul Thakur,"Shardul Thakur to Shahrukh Khan, 1 run,"
114,1,18.3,1,Sam Curran,Shardul Thakur,"Shardul Thakur to Sam Curran, 1 run,"
115,1,18.4,0,Shahrukh Khan,Shardul Thakur,"Shardul Thakur to Shahrukh Khan, no run,"
116,1,18.5,4,Shahrukh Khan,Shardul Thakur,"Shardul Thakur to Shahrukh Khan, Four,"
117,1,18.6,1,Shahrukh Khan,Shardul Thakur,"Shardul Thakur to Shahrukh Khan, 1 run,"
118,1,19.1,4,Shahrukh Khan,Tim Southee,"Tim Southee to Shahrukh Khan, Four,"
119,1,19.2,1,Shahrukh Khan,Tim Southee,"Tim Southee to Shahrukh Khan, 1 run,"
120,1,19.3,6,Sam Curran,Tim Southee,"Tim Southee to Sam Curran, Six,"
121,1,19.4,2,Sam Curran,Tim Southee,"Tim Southee to Sam Curran, 2 runs,"
122,1,19.5,2,Sam Curran,Tim Southee,"Tim Southee to Sam Curran, 2 runs,"
123,1,19.6,0,Sam Curran,Tim Southee,"Tim Southee to Sam Curran, no run,"
1,2,0.1,0,Mandeep Singh,Sam Curran,"Sam Curran to Mandeep Singh, no run,"
2,2,0.2,1,Mandeep Singh,Sam Curran,"Sam Curran to Mandeep Singh, 1 run,"
3,2,0.3,1,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, 1 run,"
4,2,0.4,1,Mandeep Singh,Sam Curran,"Sam Curran to Mandeep Singh, 1 run,"
5,2,0.5,6,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, Six,"
6,2,0.6,4,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, Four,"
7,2,1.1,w,Mandeep Singh,Arshdeep Singh,"Arshdeep Singh to Mandeep Singh, no run,                           Wicket - c Sam Curran b Arshdeep Singh batsmen out 2(4)"
8,2,1.2,0,Anukul Roy,Arshdeep Singh,"Arshdeep Singh to Anukul Roy, no run,"
9,2,1.3,4,Anukul Roy,Arshdeep Singh,"Arshdeep Singh to Anukul Roy, Four,"
10,2,1.4,0,Anukul Roy,Arshdeep Singh,"Arshdeep Singh to Anukul Roy, no run,"
11,2,1.5,0,Anukul Roy,Arshdeep Singh,"Arshdeep Singh to Anukul Roy, no run,"
12,2,1.6,w,Anukul Roy,Arshdeep Singh,"Arshdeep Singh to Anukul Roy, no run,                           Wicket - c Sikandar Raza b Arshdeep Singh batsmen out 4(5)"
13,2,2.1,4,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, Four,"
14,2,2.2,0,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, no run,"
15,2,2.3,1,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, 1 run,"
16,2,2.4,1,Venkatesh Iyer,Sam Curran,"Sam Curran to Venkatesh Iyer, 1 run,"
17,2,2.5,0,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, no run,"
18,2,2.6,1,Rahmanullah Gurbaz,Sam Curran,"Sam Curran to Rahmanullah Gurbaz, 1 run,"
19,2,3.1,0,Rahmanullah Gurbaz,Arshdeep Singh,"Arshdeep Singh to Rahmanullah Gurbaz, no run,"
20,2,3.2,0,Rahmanullah Gurbaz,Arshdeep Singh,"Arshdeep Singh to Rahmanullah Gurbaz, no run,"
21,2,3.3,0,Rahmanullah Gurbaz,Arshdeep Singh,"Arshdeep Singh to Rahmanullah Gurbaz, no run,"
22,2,3.4,0,Rahmanullah Gurbaz,Arshdeep Singh,"Arshdeep Singh to Rahmanullah Gurbaz, no run,"
23,2,3.5,4,Rahmanullah Gurbaz,Arshdeep Singh,"Arshdeep Singh to Rahmanullah Gurbaz, Four,"
24,2,3.6,1,Rahmanullah Gurbaz,Arshdeep Singh,"Arshdeep Singh to Rahmanullah Gurbaz, 1 run,"
25,2,4.1,0,Rahmanullah Gurbaz,Nathan Ellis,"Nathan Ellis to Rahmanullah Gurbaz, no run,"
26,2,4.2,w,Rahmanullah Gurbaz,Nathan Ellis,"Nathan Ellis to Rahmanullah Gurbaz, no run,                           Wicket - b Nathan Ellis batsmen out 22(16)"
27,2,4.3,0,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, no run,"
28,2,4.4,4,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, Four,"
29,2,4.5,2,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, 2 runs,"
30,2,4.6,0,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, no run,"
31,2,5.1,0,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, no run,"
32,2,5.2,1,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, 1 run,"
33,2,5.3,1,Nitish Rana,Sikandar Raza,"Sikandar Raza to Nitish Rana, 1 run,"
34,2,5.4,1wd,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, 1 wide,"
35,2,5.4,0,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, no run,"
36,2,5.5,4,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, Four,"
37,2,5.6,4,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, Four,"
38,2,6.1,1lb,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, 1 leg bye,"
39,2,6.2,1,Venkatesh Iyer,Nathan Ellis,"Nathan Ellis to Venkatesh Iyer, 1 run,"
40,2,6.3,0,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, no run,"
41,2,6.4,0,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, no run,"
42,2,6.5,1,Nitish Rana,Nathan Ellis,"Nathan Ellis to Nitish Rana, 1 run,"
43,2,6.6,1,Venkatesh Iyer,Nathan Ellis,"Nathan Ellis to Venkatesh Iyer, 1 run,"
44,2,7.1,2,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, 2 runs,"
45,2,7.2,1,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, 1 run,"
46,2,7.3,1,Nitish Rana,Sikandar Raza,"Sikandar Raza to Nitish Rana, 1 run,"
47,2,7.4,1,Venkatesh Iyer,Sikandar Raza,"Sikandar Raza to Venkatesh Iyer, 1 run,"
48,2,7.5,4,Nitish Rana,Sikandar Raza,"Sikandar Raza to Nitish Rana, Four,"
49,2,7.6,1b,Nitish Rana,Sikandar Raza,"Sikandar Raza to Nitish Rana, 1 bye,"
50,2,8.1,4,Nitish Rana,Rishi Dhawan,"Rishi Dhawan to Nitish Rana, Four,"
