ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1,Rohit Sharma,Mohammed Siraj,"Mohammed Siraj to Rohit Sharma, 1 run,"
2,1,0.2,0,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, no run,"
3,1,0.3,0,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, no run,"
4,1,0.4,0,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, no run,"
5,1,0.5,1,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, 1 run,"
6,1,0.6,0,Rohit Sharma,Mohammed Siraj,"Mohammed Siraj to Rohit Sharma, no run,"
7,1,1.1,4,Ishan Kishan,Reece Topley,"Reece Topley to Ishan Kishan, Four,"
8,1,1.2,0,Ishan Kishan,Reece Topley,"Reece Topley to Ishan Kishan, no run,"
9,1,1.3,0,Ishan Kishan,Reece Topley,"Reece Topley to Ishan Kishan, no run,"
10,1,1.4,4,Ishan Kishan,Reece Topley,"Reece Topley to Ishan Kishan, Four,"
11,1,1.5,0,Ishan Kishan,Reece Topley,"Reece Topley to Ishan Kishan, no run,"
12,1,1.6,1,Ishan Kishan,Reece Topley,"Reece Topley to Ishan Kishan, 1 run,"
13,1,2.1,0,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, no run,"
14,1,2.2,0,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, no run,"
15,1,2.3,w,Ishan Kishan,Mohammed Siraj,"Mohammed Siraj to Ishan Kishan, no run,                           Wicket - c HV Patel b Mohammed Siraj batsmen out 10(13)"
16,1,2.4,1,Cameron Green,Mohammed Siraj,"Mohammed Siraj to Cameron Green, 1 run,"
17,1,2.5,0,Rohit Sharma,Mohammed Siraj,"Mohammed Siraj to Rohit Sharma, no run,"
18,1,2.6,0,Rohit Sharma,Mohammed Siraj,"Mohammed Siraj to Rohit Sharma, no run,"
19,1,3.1,4,Cameron Green,Reece Topley,"Reece Topley to Cameron Green, Four,"
