ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,4,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, Four,"
2,1,0.2,1,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, 1 run,"
3,1,0.3,1,Mayank Agarwal,Umesh Yadav,"Umesh Yadav to Mayank Agarwal, 1 run,"
4,1,0.4,4,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, Four,"
5,1,0.5,4,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, Four,"
6,1,0.6,0,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, no run,"
7,1,1.1,3,Mayank Agarwal,Lockie Ferguson,"Lockie Ferguson to Mayank Agarwal, 3 runs,"
8,1,1.2,1,Harry Brook,Lockie Ferguson,"Lockie Ferguson to Harry Brook, 1 run,"
9,1,1.3,0,Mayank Agarwal,Lockie Ferguson,"Lockie Ferguson to Mayank Agarwal, no run,"
10,1,1.4,1,Mayank Agarwal,Lockie Ferguson,"Lockie Ferguson to Mayank Agarwal, 1 run,"
11,1,1.5,5wd,Harry Brook,Lockie Ferguson,"Lockie Ferguson to Harry Brook, 5 wide,"
12,1,1.5,4,Harry Brook,Lockie Ferguson,"Lockie Ferguson to Harry Brook, Four,"
13,1,1.6,0,Harry Brook,Lockie Ferguson,"Lockie Ferguson to Harry Brook, no run,"
14,1,2.1,0,Mayank Agarwal,Umesh Yadav,"Umesh Yadav to Mayank Agarwal, no run,"
15,1,2.2,1,Mayank Agarwal,Umesh Yadav,"Umesh Yadav to Mayank Agarwal, 1 run,"
16,1,2.3,1,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, 1 run,"
17,1,2.4,1,Mayank Agarwal,Umesh Yadav,"Umesh Yadav to Mayank Agarwal, 1 run,"
18,1,2.5,6,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, Six,"
19,1,2.6,6,Harry Brook,Umesh Yadav,"Umesh Yadav to Harry Brook, Six,"
20,1,3.1,0,Mayank Agarwal,Sunil Narine,"Sunil Narine to Mayank Agarwal, no run,"
21,1,3.2,0,Mayank Agarwal,Sunil Narine,"Sunil Narine to Mayank Agarwal, no run,"
22,1,3.3,0,Mayank Agarwal,Sunil Narine,"Sunil Narine to Mayank Agarwal, no run,"
23,1,3.4,1,Mayank Agarwal,Sunil Narine,"Sunil Narine to Mayank Agarwal, 1 run,"
24,1,3.5,1,Harry Brook,Sunil Narine,"Sunil Narine to Harry Brook, 1 run,"
25,1,3.6,1,Mayank Agarwal,Sunil Narine,"Sunil Narine to Mayank Agarwal, 1 run,"
26,1,4.1,w,Mayank Agarwal,Andre Russell,"Andre Russell to Mayank Agarwal, no run,                           Wicket - c Varun Chakravarthy b AD Russell batsmen out 9(13)"
27,1,4.2,4,Rahul Tripathi,Andre Russell,"Andre Russell to Rahul Tripathi, Four,"
28,1,4.3,1,Rahul Tripathi,Andre Russell,"Andre Russell to Rahul Tripathi, 1 run,"
29,1,4.4,1wd,Harry Brook,Andre Russell,"Andre Russell to Harry Brook, 1 wide,"
30,1,4.4,1,Harry Brook,Andre Russell,"Andre Russell to Harry Brook, 1 run,"
31,1,4.5,4,Rahul Tripathi,Andre Russell,"Andre Russell to Rahul Tripathi, Four,"
32,1,4.6,w,Rahul Tripathi,Andre Russell,"Andre Russell to Rahul Tripathi, no run,                           Wicket - c Rahmanullah Gurbaz b AD Russell batsmen out 9(4)"
33,1,5.1,1,Harry Brook,Varun Chakravarthy,"Varun Chakravarthy to Harry Brook, 1 run,"
34,1,5.2,1,Aiden Markram,Varun Chakravarthy,"Varun Chakravarthy to Aiden Markram, 1 run,"
35,1,5.3,1wd,Harry Brook,Varun Chakravarthy,"Varun Chakravarthy to Harry Brook, 1 wide,"
36,1,5.3,0,Harry Brook,Varun Chakravarthy,"Varun Chakravarthy to Harry Brook, no run,"
37,1,5.4,4,Harry Brook,Varun Chakravarthy,"Varun Chakravarthy to Harry Brook, Four,"
38,1,5.5,1,Harry Brook,Varun Chakravarthy,"Varun Chakravarthy to Harry Brook, 1 run,"
39,1,5.6,0,Aiden Markram,Varun Chakravarthy,"Varun Chakravarthy to Aiden Markram, no run,"
40,1,6.1,1,Harry Brook,Andre Russell,"Andre Russell to Harry Brook, 1 run,"
41,1,6.2,0,Aiden Markram,Andre Russell,"Andre Russell to Aiden Markram, no run,"
