ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, no run,"
2,1,0.2,0,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, no run,"
3,1,0.3,5wd,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, 5 wide,"
4,1,0.3,0,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, no run,"
5,1,0.4,0,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, no run,"
6,1,0.5,4,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, Four,"
7,1,0.6,0,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, no run,"
8,1,1.1,0,Venkatesh Iyer,David Willey,"David Willey to Venkatesh Iyer, no run,"
9,1,1.2,1,Venkatesh Iyer,David Willey,"David Willey to Venkatesh Iyer, 1 run,"
10,1,1.3,0,Rahmanullah Gurbaz,David Willey,"David Willey to Rahmanullah Gurbaz, no run,"
11,1,1.4,1,Rahmanullah Gurbaz,David Willey,"David Willey to Rahmanullah Gurbaz, 1 run,"
12,1,1.5,1,Venkatesh Iyer,David Willey,"David Willey to Venkatesh Iyer, 1 run,"
13,1,1.6,0,Rahmanullah Gurbaz,David Willey,"David Willey to Rahmanullah Gurbaz, no run,"
14,1,2.1,0,Venkatesh Iyer,Mohammed Siraj,"Mohammed Siraj to Venkatesh Iyer, no run,"
15,1,2.2,1,Venkatesh Iyer,Mohammed Siraj,"Mohammed Siraj to Venkatesh Iyer, 1 run,"
16,1,2.3,4,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, Four,"
17,1,2.4,4b,Rahmanullah Gurbaz,Mohammed Siraj,"Mohammed Siraj to Rahmanullah Gurbaz, 4 bye,"
