ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Prabhsimran Singh,Mohammed Shami,"Mohammed Shami to Prabhsimran Singh, no run,"
2,1,0.2,w,Prabhsimran Singh,Mohammed Shami,"Mohammed Shami to Prabhsimran Singh, no run,                           Wicket - c Rashid Khan b M Shami batsmen out 0(2)"
3,1,0.3,0,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, no run,"
4,1,0.4,4,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, Four,"
5,1,0.5,4,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, Four,"
6,1,0.6,0,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, no run,"
7,1,1.1,0,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, no run,"
8,1,1.2,0,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, no run,"
9,1,1.3,4,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, Four,"
10,1,1.4,0,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, no run,"
11,1,1.5,0,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, no run,"
12,1,1.6,4,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, Four,"
13,1,2.1,0,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, no run,"
14,1,2.2,0,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, no run,"
15,1,2.3,1wd,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, 1 wide,"
16,1,2.3,2,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, 2 runs,"
17,1,2.4,4,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, Four,"
18,1,2.5,4,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, Four,"
19,1,2.6,0,Matthew Short,Mohammed Shami,"Mohammed Shami to Matthew Short, no run,"
20,1,3.1,1wd,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, 1 wide,"
21,1,3.1,0,Shikhar Dhawan,Josh Little,"Josh Little to Shikhar Dhawan, no run,"
