ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,4,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, Four,"
2,1,0.2,4,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, Four,"
3,1,0.3,4,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, Four,"
4,1,0.4,0,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, no run,"
5,1,0.5,4,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, Four,"
6,1,0.6,4,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, Four,"
7,1,1.1,0,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, no run,"
8,1,1.2,0,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, no run,"
9,1,1.3,4,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, Four,"
10,1,1.4,0,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, no run,"
11,1,1.5,4,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, Four,"
12,1,1.6,4,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, Four,"
13,1,2.1,0,Yashasvi Jaiswal,Mukesh Kumar,"Mukesh Kumar to Yashasvi Jaiswal, no run,"
14,1,2.2,1,Yashasvi Jaiswal,Mukesh Kumar,"Mukesh Kumar to Yashasvi Jaiswal, 1 run,"
15,1,2.3,0,Jos Buttler,Mukesh Kumar,"Mukesh Kumar to Jos Buttler, no run,"
16,1,2.4,4,Jos Buttler,Mukesh Kumar,"Mukesh Kumar to Jos Buttler, Four,"
17,1,2.5,1,Jos Buttler,Mukesh Kumar,"Mukesh Kumar to Jos Buttler, 1 run,"
18,1,2.6,1,Yashasvi Jaiswal,Mukesh Kumar,"Mukesh Kumar to Yashasvi Jaiswal, 1 run,"
19,1,3.1,4,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, Four,"
20,1,3.2,1wd,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, 1 wide,"
21,1,3.2,0,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, no run,"
22,1,3.3,1,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, 1 run,"
23,1,3.4,0,Jos Buttler,Khaleel Ahmed,"Khaleel Ahmed to Jos Buttler, no run,"
24,1,3.5,1,Jos Buttler,Khaleel Ahmed,"Khaleel Ahmed to Jos Buttler, 1 run,"
25,1,3.6,2wd,Yashasvi Jaiswal,Khaleel Ahmed,"Khaleel Ahmed to Yashasvi Jaiswal, 2 wide,"
26,1,3.6,2,Jos Buttler,Khaleel Ahmed,"Khaleel Ahmed to Jos Buttler, 2 runs,"
27,1,4.1,0,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, no run,"
28,1,4.2,0,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, no run,"
29,1,4.3,4,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, Four,"
30,1,4.4,4,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, Four,"
31,1,4.5,4,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, Four,"
32,1,4.6,1,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, 1 run,"
33,1,5.1,0,Yashasvi Jaiswal,Anrich Nortje,"Anrich Nortje to Yashasvi Jaiswal, no run,"
34,1,5.2,0,Yashasvi Jaiswal,Anrich Nortje,"Anrich Nortje to Yashasvi Jaiswal, no run,"
35,1,5.3,1,Yashasvi Jaiswal,Anrich Nortje,"Anrich Nortje to Yashasvi Jaiswal, 1 run,"
36,1,5.4,4,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, Four,"
37,1,5.5,0,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, no run,"
38,1,5.6,0,Jos Buttler,Anrich Nortje,"Anrich Nortje to Jos Buttler, no run,"
39,1,6.1,1,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, 1 run,"
40,1,6.2,1,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, 1 run,"
41,1,6.3,0,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, no run,"
42,1,6.4,4,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, Four,"
43,1,6.5,4,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, Four,"
44,1,6.6,1,Yashasvi Jaiswal,Axar Patel,"Axar Patel to Yashasvi Jaiswal, 1 run,"
45,1,7.1,1,Yashasvi Jaiswal,Kuldeep Yadav,"Kuldeep Yadav to Yashasvi Jaiswal, 1 run,"
46,1,7.2,4,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, Four,"
47,1,7.3,1,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, 1 run,"
48,1,7.4,6,Yashasvi Jaiswal,Kuldeep Yadav,"Kuldeep Yadav to Yashasvi Jaiswal, Six,"
49,1,7.5,1,Yashasvi Jaiswal,Kuldeep Yadav,"Kuldeep Yadav to Yashasvi Jaiswal, 1 run,"
50,1,7.6,4,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, Four,"
51,1,8.1,1,Yashasvi Jaiswal,Mukesh Kumar,"Mukesh Kumar to Yashasvi Jaiswal, 1 run,"
52,1,8.2,1,Jos Buttler,Mukesh Kumar,"Mukesh Kumar to Jos Buttler, 1 run,"
53,1,8.3,w,Yashasvi Jaiswal,Mukesh Kumar,"Mukesh Kumar to Yashasvi Jaiswal, no run,                           Wicket - c &amp; b Mukesh Kumar batsmen out 60(31)"
54,1,8.4,0,Sanju Samson,Mukesh Kumar,"Mukesh Kumar to Sanju Samson, no run,"
55,1,8.5,0,Sanju Samson,Mukesh Kumar,"Mukesh Kumar to Sanju Samson, no run,"
56,1,8.6,0,Sanju Samson,Mukesh Kumar,"Mukesh Kumar to Sanju Samson, no run,"
57,1,9.1,2,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, 2 runs,"
58,1,9.2,0,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, no run,"
59,1,9.3,2,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, 2 runs,"
60,1,9.4,1,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, 1 run,"
61,1,9.5,w,Sanju Samson,Kuldeep Yadav,"Kuldeep Yadav to Sanju Samson, no run,                           Wicket - c Anrich Nortje b KL Yadav batsmen out 0(4)"
62,1,9.6,0,Riyan Parag,Kuldeep Yadav,"Kuldeep Yadav to Riyan Parag, no run,"
63,1,10.1,0,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, no run,"
64,1,10.2,1,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, 1 run,"
65,1,10.3,0,Riyan Parag,Axar Patel,"Axar Patel to Riyan Parag, no run,"
66,1,10.4,1,Riyan Parag,Axar Patel,"Axar Patel to Riyan Parag, 1 run,"
67,1,10.5,1,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, 1 run,"
68,1,10.6,1,Riyan Parag,Axar Patel,"Axar Patel to Riyan Parag, 1 run,"
69,1,11.1,1,Riyan Parag,Kuldeep Yadav,"Kuldeep Yadav to Riyan Parag, 1 run,"
70,1,11.2,1,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, 1 run,"
71,1,11.3,1,Riyan Parag,Kuldeep Yadav,"Kuldeep Yadav to Riyan Parag, 1 run,"
72,1,11.4,0,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, no run,"
73,1,11.5,0,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, no run,"
74,1,11.6,2,Jos Buttler,Kuldeep Yadav,"Kuldeep Yadav to Jos Buttler, 2 runs,"
75,1,12.1,1,Riyan Parag,Axar Patel,"Axar Patel to Riyan Parag, 1 run,"
76,1,12.2,6,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, Six,"
77,1,12.3,0,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, no run,"
78,1,12.4,1,Jos Buttler,Axar Patel,"Axar Patel to Jos Buttler, 1 run,"
