ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, 1 run,"
2,1,0.2,1wd,Devon Conway,Kyle Mayers,"Kyle Mayers to Devon Conway, 1 wide,"
3,1,0.2,0,Devon Conway,Kyle Mayers,"Kyle Mayers to Devon Conway, no run,"
4,1,0.3,1,Devon Conway,Kyle Mayers,"Kyle Mayers to Devon Conway, 1 run,"
5,1,0.4,1,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, 1 run,"
6,1,0.5,1,Devon Conway,Kyle Mayers,"Kyle Mayers to Devon Conway, 1 run,"
7,1,0.6,1,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, 1 run,"
8,1,1.1,5wd,Ruturaj Gaikwad,Avesh Khan,"Avesh Khan to Ruturaj Gaikwad, 5 wide,"
9,1,1.1,3,Ruturaj Gaikwad,Avesh Khan,"Avesh Khan to Ruturaj Gaikwad, 3 runs,"
10,1,1.2,0,Devon Conway,Avesh Khan,"Avesh Khan to Devon Conway, no run,"
11,1,1.3,4,Devon Conway,Avesh Khan,"Avesh Khan to Devon Conway, Four,"
12,1,1.4,4,Devon Conway,Avesh Khan,"Avesh Khan to Devon Conway, Four,"
13,1,1.5,0,Devon Conway,Avesh Khan,"Avesh Khan to Devon Conway, no run,"
14,1,1.6,1,Devon Conway,Avesh Khan,"Avesh Khan to Devon Conway, 1 run,"
15,1,2.1,1,Devon Conway,Kyle Mayers,"Kyle Mayers to Devon Conway, 1 run,"
16,1,2.2,4,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, Four,"
17,1,2.3,2,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, 2 runs,"
18,1,2.4,1,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, 1 run,"
19,1,2.5,1,Devon Conway,Kyle Mayers,"Kyle Mayers to Devon Conway, 1 run,"
20,1,2.6,1,Ruturaj Gaikwad,Kyle Mayers,"Kyle Mayers to Ruturaj Gaikwad, 1 run,"
21,1,3.1,1,Ruturaj Gaikwad,Krunal Pandya,"Krunal Pandya to Ruturaj Gaikwad, 1 run,"
