ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, no run,"
2,1,0.2,1,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, 1 run,"
3,1,0.3,1,Shubman Gill,Umesh Yadav,"Umesh Yadav to Shubman Gill, 1 run,"
4,1,0.4,0,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, no run,"
5,1,0.5,1lb,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, 1 leg bye,"
6,1,0.6,1,Shubman Gill,Umesh Yadav,"Umesh Yadav to Shubman Gill, 1 run,"
7,1,1.1,1,Shubman Gill,Shardul Thakur,"Shardul Thakur to Shubman Gill, 1 run,"
8,1,1.2,4,Wriddhiman Saha,Shardul Thakur,"Shardul Thakur to Wriddhiman Saha, Four,"
9,1,1.3,1b,Wriddhiman Saha,Shardul Thakur,"Shardul Thakur to Wriddhiman Saha, 1 bye,"
10,1,1.4,1,Shubman Gill,Shardul Thakur,"Shardul Thakur to Shubman Gill, 1 run,"
11,1,1.5,1wd,Wriddhiman Saha,Shardul Thakur,"Shardul Thakur to Wriddhiman Saha, 1 wide,"
12,1,1.5,1,Wriddhiman Saha,Shardul Thakur,"Shardul Thakur to Wriddhiman Saha, 1 run,"
13,1,1.6,4,Shubman Gill,Shardul Thakur,"Shardul Thakur to Shubman Gill, Four,"
14,1,2.1,1,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, 1 run,"
15,1,2.2,1,Shubman Gill,Umesh Yadav,"Umesh Yadav to Shubman Gill, 1 run,"
16,1,2.3,0,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, no run,"
17,1,2.4,0,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, no run,"
18,1,2.5,1wd,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, 1 wide,"
19,1,2.5,4,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, Four,"
20,1,2.6,0,Wriddhiman Saha,Umesh Yadav,"Umesh Yadav to Wriddhiman Saha, no run,"
21,1,3.1,0,Shubman Gill,Lockie Ferguson,"Lockie Ferguson to Shubman Gill, no run,"
22,1,3.2,1,Shubman Gill,Lockie Ferguson,"Lockie Ferguson to Shubman Gill, 1 run,"
23,1,3.3,4,Wriddhiman Saha,Lockie Ferguson,"Lockie Ferguson to Wriddhiman Saha, Four,"
24,1,3.4,0,Wriddhiman Saha,Lockie Ferguson,"Lockie Ferguson to Wriddhiman Saha, no run,"
25,1,3.5,1wd,Wriddhiman Saha,Lockie Ferguson,"Lockie Ferguson to Wriddhiman Saha, 1 wide,"
26,1,3.5,1lb,Wriddhiman Saha,Lockie Ferguson,"Lockie Ferguson to Wriddhiman Saha, 1 leg bye,"
27,1,3.6,0,Shubman Gill,Lockie Ferguson,"Lockie Ferguson to Shubman Gill, no run,"
28,1,4.1,2,Wriddhiman Saha,Sunil Narine,"Sunil Narine to Wriddhiman Saha, 2 runs,"
29,1,4.2,w,Wriddhiman Saha,Sunil Narine,"Sunil Narine to Wriddhiman Saha, no run,                           Wicket - c Narayan Jagadeesan b SP Narine batsmen out 17(17)"
30,1,4.3,1wd,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, 1 wide,"
31,1,4.3,0,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, no run,"
32,1,4.4,0,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, no run,"
33,1,4.5,4,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, Four,"
34,1,4.6,0,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, no run,"
35,1,5.1,1,Shubman Gill,Varun Chakravarthy,"Varun Chakravarthy to Shubman Gill, 1 run,"
36,1,5.2,1,Sai Sudharsan,Varun Chakravarthy,"Varun Chakravarthy to Sai Sudharsan, 1 run,"
37,1,5.3,0,Shubman Gill,Varun Chakravarthy,"Varun Chakravarthy to Shubman Gill, no run,"
38,1,5.4,5wd,Shubman Gill,Varun Chakravarthy,"Varun Chakravarthy to Shubman Gill, 5 wide,"
39,1,5.4,4,Shubman Gill,Varun Chakravarthy,"Varun Chakravarthy to Shubman Gill, Four,"
40,1,5.5,4,Shubman Gill,Varun Chakravarthy,"Varun Chakravarthy to Shubman Gill, Four,"
41,1,5.6,1,Shubman Gill,Varun Chakravarthy,"Varun Chakravarthy to Shubman Gill, 1 run,"
42,1,6.1,1,Shubman Gill,Sunil Narine,"Sunil Narine to Shubman Gill, 1 run,"
43,1,6.2,1,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, 1 run,"
44,1,6.3,0,Shubman Gill,Sunil Narine,"Sunil Narine to Shubman Gill, no run,"
45,1,6.4,1,Shubman Gill,Sunil Narine,"Sunil Narine to Shubman Gill, 1 run,"
46,1,6.5,1,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, 1 run,"
47,1,6.6,4,Shubman Gill,Sunil Narine,"Sunil Narine to Shubman Gill, Four,"
