ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1,Anmolpreet Singh,Kyle Mayers,"Kyle Mayers to Anmolpreet Singh, 1 run,"
2,1,0.2,1,Mayank Agarwal,Kyle Mayers,"Kyle Mayers to Mayank Agarwal, 1 run,"
3,1,0.3,1,Anmolpreet Singh,Kyle Mayers,"Kyle Mayers to Anmolpreet Singh, 1 run,"
4,1,0.4,1,Mayank Agarwal,Kyle Mayers,"Kyle Mayers to Mayank Agarwal, 1 run,"
5,1,0.5,0,Anmolpreet Singh,Kyle Mayers,"Kyle Mayers to Anmolpreet Singh, no run,"
6,1,0.6,1,Anmolpreet Singh,Kyle Mayers,"Kyle Mayers to Anmolpreet Singh, 1 run,"
7,1,1.1,0,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, no run,"
8,1,1.2,2,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, 2 runs,"
9,1,1.3,0,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, no run,"
10,1,1.4,1,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, 1 run,"
11,1,1.5,1,Mayank Agarwal,Jaydev Unadkat,"Jaydev Unadkat to Mayank Agarwal, 1 run,"
12,1,1.6,6,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, Six,"
13,1,2.1,0,Mayank Agarwal,Krunal Pandya,"Krunal Pandya to Mayank Agarwal, no run,"
14,1,2.2,4,Mayank Agarwal,Krunal Pandya,"Krunal Pandya to Mayank Agarwal, Four,"
15,1,2.3,1,Mayank Agarwal,Krunal Pandya,"Krunal Pandya to Mayank Agarwal, 1 run,"
16,1,2.4,1,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, 1 run,"
17,1,2.5,w,Mayank Agarwal,Krunal Pandya,"Krunal Pandya to Mayank Agarwal, no run,                           Wicket - c MP Stoinis b KH Pandya batsmen out 8(7)"
18,1,2.6,0,Rahul Tripathi,Krunal Pandya,"Krunal Pandya to Rahul Tripathi, no run,"
19,1,3.1,0,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, no run,"
20,1,3.2,1,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, 1 run,"
21,1,3.3,0,Rahul Tripathi,Jaydev Unadkat,"Jaydev Unadkat to Rahul Tripathi, no run,"
22,1,3.4,0,Rahul Tripathi,Jaydev Unadkat,"Jaydev Unadkat to Rahul Tripathi, no run,"
23,1,3.5,1,Rahul Tripathi,Jaydev Unadkat,"Jaydev Unadkat to Rahul Tripathi, 1 run,"
24,1,3.6,1wd,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, 1 wide,"
25,1,3.6,0,Anmolpreet Singh,Jaydev Unadkat,"Jaydev Unadkat to Anmolpreet Singh, no run,"
26,1,4.1,0,Rahul Tripathi,Krunal Pandya,"Krunal Pandya to Rahul Tripathi, no run,"
27,1,4.2,1,Rahul Tripathi,Krunal Pandya,"Krunal Pandya to Rahul Tripathi, 1 run,"
28,1,4.3,0,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, no run,"
29,1,4.4,0,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, no run,"
30,1,4.5,4,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, Four,"
31,1,4.6,4,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, Four,"
32,1,5.1,4,Rahul Tripathi,Yash Thakur,"Yash Thakur to Rahul Tripathi, Four,"
33,1,5.2,1lb,Rahul Tripathi,Yash Thakur,"Yash Thakur to Rahul Tripathi, 1 leg bye,"
34,1,5.3,0,Anmolpreet Singh,Yash Thakur,"Yash Thakur to Anmolpreet Singh, no run,"
35,1,5.4,0,Anmolpreet Singh,Yash Thakur,"Yash Thakur to Anmolpreet Singh, no run,"
36,1,5.5,4,Anmolpreet Singh,Yash Thakur,"Yash Thakur to Anmolpreet Singh, Four,"
37,1,5.6,1,Anmolpreet Singh,Yash Thakur,"Yash Thakur to Anmolpreet Singh, 1 run,"
38,1,6.1,1,Anmolpreet Singh,Ravi Bishnoi,"Ravi Bishnoi to Anmolpreet Singh, 1 run,"
39,1,6.2,0,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, no run,"
40,1,6.3,1,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, 1 run,"
41,1,6.4,1,Anmolpreet Singh,Ravi Bishnoi,"Ravi Bishnoi to Anmolpreet Singh, 1 run,"
42,1,6.5,1,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, 1 run,"
43,1,6.6,1,Anmolpreet Singh,Ravi Bishnoi,"Ravi Bishnoi to Anmolpreet Singh, 1 run,"
44,1,7.1,1,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, 1 run,"
45,1,7.2,0,Rahul Tripathi,Krunal Pandya,"Krunal Pandya to Rahul Tripathi, no run,"
46,1,7.3,0,Rahul Tripathi,Krunal Pandya,"Krunal Pandya to Rahul Tripathi, no run,"
47,1,7.4,1,Rahul Tripathi,Krunal Pandya,"Krunal Pandya to Rahul Tripathi, 1 run,"
48,1,7.5,w,Anmolpreet Singh,Krunal Pandya,"Krunal Pandya to Anmolpreet Singh, no run,                           Wicket - lbw b KH Pandya batsmen out 31(26)"
49,1,7.6,w,Aiden Markram,Krunal Pandya,"Krunal Pandya to Aiden Markram, no run,                           Wicket - b KH Pandya batsmen out 0(1)"
50,1,8.1,1,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, 1 run,"
51,1,8.2,1,Harry Brook,Ravi Bishnoi,"Ravi Bishnoi to Harry Brook, 1 run,"
52,1,8.3,1,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, 1 run,"
53,1,8.4,2,Harry Brook,Ravi Bishnoi,"Ravi Bishnoi to Harry Brook, 2 runs,"
54,1,8.5,0,Harry Brook,Ravi Bishnoi,"Ravi Bishnoi to Harry Brook, no run,"
55,1,8.6,w,Harry Brook,Ravi Bishnoi,"Ravi Bishnoi to Harry Brook, no run,                           Wicket - st Nicholas Pooran b Ravi Bishnoi batsmen out 3(4)"
56,1,9.1,1,Rahul Tripathi,Deepak Hooda,"Deepak Hooda to Rahul Tripathi, 1 run,"
57,1,9.2,1,Washing,Deepak Hooda,"Deepak Hooda to Washington Sundar, 1 run,"
58,1,9.3,1,Rahul Tripathi,Deepak Hooda,"Deepak Hooda to Rahul Tripathi, 1 run,"
59,1,9.4,1,Washing,Deepak Hooda,"Deepak Hooda to Washington Sundar, 1 run,"
60,1,9.5,0,Rahul Tripathi,Deepak Hooda,"Deepak Hooda to Rahul Tripathi, no run,"
61,1,9.6,4,Rahul Tripathi,Deepak Hooda,"Deepak Hooda to Rahul Tripathi, Four,"
62,1,10.1,0,Washing,Ravi Bishnoi,"Ravi Bishnoi to Washington Sundar, no run,"
63,1,10.2,1,Washing,Ravi Bishnoi,"Ravi Bishnoi to Washington Sundar, 1 run,"
64,1,10.3,0,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, no run,"
65,1,10.4,1,Rahul Tripathi,Ravi Bishnoi,"Ravi Bishnoi to Rahul Tripathi, 1 run,"
66,1,10.5,0,Washing,Ravi Bishnoi,"Ravi Bishnoi to Washington Sundar, no run,"
